20,bestK,time(nanoTime/TIMER_DIVISOR)
0.0,20,387653988
0.0,20,285762469
0.0,20,154627377
0.0,20,132148234
0.0,20,122319486
0.0,20,129014526
0.0,20,119129680
0.0,20,118099313
0.0,20,118330925
0.0,20,122601353
0.0,20,118744476
0.0,20,112150029
0.0,20,113845100
0.0,20,107004488
0.0,20,109864257
0.0,20,115596249
0.0,20,123070897
0.0,20,111454724
0.0,20,155632917
0.0,20,113204047
0.0,20,125233758
0.0,20,117939758
0.0,20,131055536
0.0,20,122540839
0.0,20,111035700
0.0,20,113818860
0.0,20,121990311
0.0,20,108628560
0.0,20,113291796
0.0,20,108226194
0.0,20,110618902
0.0,20,115206420
0.0,20,121444149
0.0,20,110515197
0.0,20,121618907
0.0,20,109131954
0.0,20,154862915
0.0,20,114311870
0.0,20,113617080
0.0,20,111519271
0.0,20,116481234
0.0,20,117214168
0.0,20,106031128
0.0,20,117101673
0.0,20,114590360
0.0,20,115885339
0.0,20,111256411
0.0,20,113770958
0.0,20,110569501
0.0,20,108648424
0.0,20,112692077
0.0,20,115788982
0.0,20,112097205
0.0,20,114115270
0.0,20,112742297
0.0,20,148364516
0.0,20,122557749
0.0,20,106656438
0.0,20,120349074
0.0,20,107946673
0.0,20,121419310
0.0,20,111884043
0.0,20,110000109
0.0,20,113644992
0.0,20,115582903
0.0,20,110544447
0.0,20,126528064
0.0,20,110601823
0.0,20,110745248
0.0,20,116626038
0.0,20,115450693
0.0,20,111960278
0.0,20,116378584
0.0,20,115936171
0.0,20,113007221
0.0,20,116102828
0.0,20,109740246
0.0,20,113497216
0.0,20,111226732
0.0,20,112683237
0.0,20,114918956
0.0,20,113407288
0.0,20,109576716
0.0,20,112135022
0.0,20,116682816
0.0,20,111723760
0.0,20,113870701
0.0,20,110957978
0.0,20,115892604
0.0,20,115228947
0.0,20,113787459
0.0,20,114430675
0.0,20,109238071
0.0,20,110198769
0.0,20,113953969
0.0,20,112230167
0.0,20,114731662
0.0,20,112900674
0.0,20,119638947
0.0,20,112670833
0.0,20,116185375
0.0,20,119484964
0.0,20,114329078
0.0,20,117843138
0.0,20,110220543
0.0,20,113435301
0.0,20,113825165
0.0,20,111458041
0.0,20,114995887
0.0,20,112225640
0.0,20,116514500
0.0,20,115262587
0.0,20,115056934
0.0,20,107570539
0.0,20,116118697
0.0,20,113530972
0.0,20,114111002
0.0,20,114034278
0.0,20,120966203
0.0,20,118254274
0.0,20,110646177
0.0,20,116718768
0.0,20,113776829
0.0,20,124358089
0.0,20,116291172
0.0,20,106469633
0.0,20,122256676
0.0,20,121281744
0.0,20,110903855
0.0,20,120320229
0.0,20,111830790
0.0,20,106582958
0.0,20,117221618
0.0,20,106935866
0.0,20,116147855
0.0,20,114298147
0.0,20,109821820
0.0,20,111615523
0.0,20,110756969
0.0,20,110375372
0.0,20,120340437
0.0,20,111551311
0.0,20,114746909
0.0,20,104951629
0.0,20,110961282
0.0,20,110255329
0.0,20,109900657
0.0,20,117831046
0.0,20,109448627
0.0,20,109603726
0.0,20,111738396
0.0,20,116360878
0.0,20,113301641
0.0,20,112192827
0.0,20,114881927
0.0,20,113754751
0.0,20,116302774
0.0,20,114022456
0.0,20,109789572
0.0,20,123032895
0.0,20,111342562
0.0,20,113194064
0.0,20,109264715
0.0,20,116110959
0.0,20,116240732
0.0,20,117607176
0.0,20,112393829
0.0,20,111977287
0.0,20,106294292
0.0,20,124735555
0.0,20,116767165
0.0,20,113124385
0.0,20,114064851
0.0,20,116124840
0.0,20,117576466
0.0,20,119137553
0.0,20,116862876
0.0,20,111956943
0.0,20,117254754
0.0,20,116718083
0.0,20,121046425
0.0,20,120105394
0.0,20,117529540
0.0,20,116353038
0.0,20,109502311
0.0,20,115676528
0.0,20,107967047
0.0,20,118506712
0.0,20,119592440
0.0,20,108969591
0.0,20,109316711
0.0,20,120851499
0.0,20,132583520
0.0,20,123141130
0.0,20,119167916
0.0,20,113699241
0.0,20,115675270
0.0,20,112613402
0.0,20,105610104
0.0,20,116426709
0.0,20,112824607
0.0,20,109226986
0.0,20,115388564
0.0,20,118096085
0.0,20,110460441
0.0,20,126136749
0.0,20,107489277
0.0,20,117627403
0.0,20,114994902
0.0,20,117603162
0.0,20,111755678
0.0,20,113179806
0.0,20,115606806
0.0,20,113868696
0.0,20,107057415
0.0,20,116712941
0.0,20,119074996
0.0,20,133457219
0.0,20,114099105
0.0,20,116447407
0.0,20,123972773
0.0,20,112370178
