20,bestK,time(nanoTime/TIMER_DIVISOR)
935538.5289594206,20,387653988
1693397.8156151627,20,285762469
1135360.7935011215,20,154627377
931832.67769734,20,132148234
1203275.8690929962,20,122319486
499676.4691670311,20,129014526
717544.2224746158,20,119129680
2886845.1678457917,20,118099313
1376315.8264337853,20,118330925
916646.7613235416,20,122601353
1922693.6154165482,20,118744476
2209041.8456311277,20,112150029
402650.90135099605,20,113845100
1120733.2390892352,20,107004488
372844.03556378663,20,109864257
647024.2772834082,20,115596249
1574366.8146447905,20,123070897
1673492.1593010435,20,111454724
1005815.1817842388,20,155632917
772418.8936137931,20,113204047
1509866.9181537654,20,125233758
837603.0198882495,20,117939758
1473551.5616429655,20,131055536
1854737.64303044,20,122540839
734026.4825597901,20,111035700
1385246.8682613433,20,113818860
1228826.8233605132,20,121990311
1589160.824748634,20,108628560
573471.8052177593,20,113291796
768131.11126294,20,108226194
612309.7147321902,20,110618902
2042233.2614646005,20,115206420
2169280.5702130953,20,121444149
1337758.7873167563,20,110515197
688221.5593083962,20,121618907
1816278.1940270148,20,109131954
1037166.2389533131,20,154862915
995183.9173854507,20,114311870
574191.4478979802,20,113617080
467252.0797024601,20,111519271
1137272.0269562174,20,116481234
965335.6349793966,20,117214168
1405321.6904346242,20,106031128
3206317.200480271,20,117101673
727925.1086698854,20,114590360
678620.4578358751,20,115885339
594580.2716315752,20,111256411
1067564.859872413,20,113770958
855520.7561959192,20,110569501
2495633.4077512743,20,108648424
1538285.4614968617,20,112692077
1169677.3747810067,20,115788982
782951.8598488179,20,112097205
1091246.0152256421,20,114115270
1179018.8228391667,20,112742297
951639.8466845789,20,148364516
1101245.6216053437,20,122557749
753094.6987590634,20,106656438
862516.574202897,20,120349074
955569.0718376199,20,107946673
774770.590053918,20,121419310
1929215.6456669564,20,111884043
874927.9708091,20,110000109
1091576.543107082,20,113644992
473014.6722653687,20,115582903
1667847.8804696144,20,110544447
860472.0070077897,20,126528064
1005513.6874428897,20,110601823
1437371.0685487683,20,110745248
1596355.3750489159,20,116626038
1313147.5013946497,20,115450693
1105262.5565636873,20,111960278
774390.9783243991,20,116378584
2163897.6097248043,20,115936171
2047535.0338698844,20,113007221
1011673.0609677598,20,116102828
540748.3129034481,20,109740246
2027296.72750522,20,113497216
1079706.7520055906,20,111226732
545862.0569053766,20,112683237
1259835.8898891017,20,114918956
1113483.3018095505,20,113407288
2099096.702217918,20,109576716
536371.0639490345,20,112135022
1207349.942905429,20,116682816
1363294.7987723448,20,111723760
1179822.1372667896,20,113870701
1399027.2607475484,20,110957978
1902787.5366893394,20,115892604
1303376.9696024454,20,115228947
551973.9113039863,20,113787459
670341.820524102,20,114430675
1331106.6677835407,20,109238071
1280770.3276499303,20,110198769
1990992.742455334,20,113953969
415084.71068325685,20,112230167
999507.1153686112,20,114731662
465389.7481510326,20,112900674
1064360.16099867,20,119638947
997892.9126084081,20,112670833
608790.2268962082,20,116185375
694173.4442834283,20,119484964
977955.9622686342,20,114329078
1669535.5644933744,20,117843138
1333508.4469470019,20,110220543
851366.5300160032,20,113435301
1272053.2538461443,20,113825165
683239.8729705035,20,111458041
1909914.3803600783,20,114995887
1859974.1665826216,20,112225640
666539.8783243748,20,116514500
1618402.3463346066,20,115262587
1083068.312986404,20,115056934
3400481.6766228355,20,107570539
2083998.173562053,20,116118697
656328.831546324,20,113530972
718608.7454732296,20,114111002
1258934.562905752,20,114034278
732607.9968328995,20,120966203
872243.7153777074,20,118254274
655267.5369568552,20,110646177
1242399.9732083748,20,116718768
406103.06361473456,20,113776829
999587.1512743809,20,124358089
797888.0744836199,20,116291172
1951748.1612359814,20,106469633
1148559.1751876117,20,122256676
1278019.5688663605,20,121281744
1662144.2470916437,20,110903855
742394.2073632488,20,120320229
723386.9804324345,20,111830790
777520.2606620806,20,106582958
2271387.674957378,20,117221618
1105214.588575125,20,106935866
716034.8685433363,20,116147855
1195879.7804315179,20,114298147
869703.6934038976,20,109821820
1003038.4311623353,20,111615523
473766.09739868494,20,110756969
975053.3433051729,20,110375372
864818.9992500169,20,120340437
479477.8495373891,20,111551311
1825770.9777710843,20,114746909
1051551.4374889808,20,104951629
895865.8469414746,20,110961282
382990.8695505134,20,110255329
1356712.9561119818,20,109900657
1611256.974099718,20,117831046
1070140.1334161598,20,109448627
944550.9837408257,20,109603726
1395415.4245435006,20,111738396
997290.4933297539,20,116360878
1071290.4582910289,20,113301641
2524594.5779619296,20,112192827
1886728.6511458275,20,114881927
862359.6875915105,20,113754751
1191978.7928303909,20,116302774
982034.851109448,20,114022456
486498.3448618732,20,109789572
517355.40510760405,20,123032895
1584407.8215200256,20,111342562
1346896.8376274519,20,113194064
1188549.76903734,20,109264715
1699712.5639986226,20,116110959
591246.2945669878,20,116240732
1368574.4505012692,20,117607176
1421809.2531890513,20,112393829
1406030.84943451,20,111977287
1555287.0016116414,20,106294292
1039396.2414835589,20,124735555
1717228.0466421358,20,116767165
735621.9572338891,20,113124385
4384897.867891129,20,114064851
419906.76061810454,20,116124840
728694.1675468632,20,117576466
203075.9339200266,20,119137553
1154890.967355717,20,116862876
429944.05446114764,20,111956943
1453004.7819104323,20,117254754
1390845.6286165593,20,116718083
652919.9904045066,20,121046425
2105127.317460432,20,120105394
1041450.6050860804,20,117529540
2032817.1804956635,20,116353038
936350.9383745415,20,109502311
1505463.244286746,20,115676528
804218.2689700949,20,107967047
1694776.577781606,20,118506712
2134609.232157608,20,119592440
1110402.6847930788,20,108969591
1457279.707769705,20,109316711
1067700.1866691387,20,120851499
948746.6594210783,20,132583520
1313028.2225108552,20,123141130
