1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,bestK,time(nanoTime/TIMER_DIVISOR)
1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,1.0755265376867512E13,145,59637322
8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,8.456079262367744E12,145,93640912
8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,8.030938633881838E14,145,49149273
7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,7.701099913496161E12,145,47660308
1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,1.3362874021316213E13,145,59803656
1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,1.282310071621685E13,94,106277998
3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,3.54712053353482E13,94,91786183
29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,29591.910815577477,145,53604867
1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,1.1571103853274375E13,83,107172302
2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,2.7821914792408806E14,145,50855198
