20,bestK,time(nanoTime/TIMER_DIVISOR)
5.044337918993506E7,20,2413209
4.473707815773533E7,20,822465
5.471757135039682E7,20,569161
5.4914107091949254E7,20,602050
5.926334782969122E7,20,360112
5.2131365340708286E7,20,345294
5.2230674863908805E7,20,424665
5.249448979888358E7,20,447814
5.007925499358974E7,20,4203210
4.6373445074358985E7,20,439694
5.359194205750557E7,20,213499
6.3806047145296365E7,20,227161
5.022587056710927E7,20,194265
4.231643371629073E7,20,215083
6.214201100119543E7,20,224098
5.724192777063493E7,20,211147
5.348394364482351E7,20,358573
6.17648393760283E7,20,195694
6.708542305704295E7,20,358235
3.7495134669164166E7,20,202897
5.397139010580807E7,20,203470
6.389578549248121E7,20,197106
5.163017936448096E7,20,342792
4.569901302410131E7,20,192135
5.5461800037731715E7,20,215076
4.553204683545455E7,20,212071
6.107811369087301E7,20,191735
7.052893658702408E7,20,228891
4.8857036712554105E7,20,192296
4.609142971412593E7,20,202769
3.9096148015425704E7,20,346959
4.974397916208792E7,20,216976
4.793581004635377E7,20,210802
6.067538192637362E7,20,189042
5.136788943862665E7,20,228028
5.821067574201127E7,20,2740810
5.756618150054302E7,20,215904
4.123965726357069E7,20,189804
6.623430128153334E7,20,206998
5.1392177522745304E7,20,204684
4.389469499819347E7,20,212383
4.643863753702897E7,20,239054
5.200123656746032E7,20,363162
4.857427144663647E7,20,212104
5.276149636666666E7,20,191065
5.189825589558775E7,20,202783
5.160711618543401E7,20,194329
4.136924824166666E7,20,211151
4.8285407759458885E7,20,209891
4.899084528796296E7,20,199942
5.936082199367298E7,20,194664
5.040228248628241E7,20,203713
5.452832181575574E7,20,213862
5.172477486600278E7,20,189909
4.8510734814293146E7,20,193030
5.893314611041625E7,20,225011
5.030393682314112E7,20,229137
5.715600398685339E7,20,191625
5.296761579108757E7,20,232581
5.0029203824146934E7,20,215044
4.669368567622655E7,20,200948
6.2096106388713814E7,20,204884
6.020022815636505E7,20,229475
5.294065325076312E7,20,194387
5.489516309861112E7,20,191424
5.339208457069599E7,20,207088
5.043678839141458E7,20,218663
5.722999136509129E7,20,201197
6.5791123561706066E7,20,199582
5.448489831254892E7,20,238542
5.2024296917207785E7,20,190857
5.614579682901912E7,20,190777
5.088602823831169E7,20,209060
5.488914991383507E7,20,234646
5.8415134468073584E7,20,198051
5.073748152575188E7,20,210412
5.408158247154881E7,20,210010
6.470742623979501E7,20,202719
4.872353251769916E7,20,193258
6.3317461648529254E7,20,213221
5.6693912274675325E7,20,222397
3.8967736970043555E7,20,212364
